PM_PROPERTY_ID,PROPERTY_NAME,ADDRESS_OF_RECORD,POSTAL_CODE,LATITUDE,LONGITUDE
3540346,Bristol House,1400 20TH ST NW,20036,38.90899148,-77.04514814
3997827,"21 Dupont Associates, LLC",21 DUPONT CIR NW,20036,38.90884921,-77.04380946
1034459,1090 Vermont Avenue NW,1090 VERMONT AV NW,20005,38.90342794,-77.03367752
3540220,Cambridge Apartments,1221 MASSACHUSETTS AVE NW,20005,38.90497068,-77.02900799
3374793,Recorder of Deeds,0515 D ST NW,20001,38.89497119,-77.01953671
3374793,# Recorder of Deeds,0515 D ST NW,20001,38.89497119,-77.01953671
6696269,Modern on M,1100 6TH ST SW,20024,38.87710195,-77.01931759
1345607,CBRE 800 N CAPITOL,800 NORTH CAPITOL ST NW,20002,38.90050474,-77.00972825
1406853,"830 First Street, NE- SOLD",830 1ST ST NE,20002,38.90107243,-77.00762509
3989961,Jemal's Uline LLC,1140 3RD ST NE,,38.904849,-77.00249103
6272798,700 Constitution,700 CONSTITUTION AVE NE,20002,38.8923672,-76.99543417
3412622,! Bellevue (William O. Lockridge) Library,0115  ATLANTIC ST SW,20032,38.83133329,-77.00936719
3365974,Winston Education Center,3001 ALABAMA AV SE,20020,38.85758385,-76.96282832
4060698,Fine Arts,2440 6TH ST NW,20059,38.92645893,-77.01852853
4060714,Medical School - Seeley G. Mudd,2041 - 2121 GEORGIA AV NW,20060,38.91886007,-77.01926057
4060705,LK Downing Engineering,2300 - 2370 6TH ST NW,20059,38.92210388,-77.02150033
4060694,Dental School,2041 - 2121 GEORGIA AV NW,20060,38.91886007,-77.01926057
4060705,LK Downing Engineering,2300 - 2370 6TH ST NW,20059,38.92210388,-77.02150033
4060705,LK Downing Engineering,2300 - 2370 6TH ST NW,20059,38.92210388,-77.02150033
3412670,Taft Rec Ctr,1800 PERRY ST NE,20018,38.93680394,-76.97859779
4020730,Building,3400 BENNING RD NE,20019,38.89698594,-76.95213935
4373184,Science and Engineering Hall,817 23RD ST NW,20052,38.90047534,-77.04912183
3987174,Wah Luck House,0800 6TH ST NW,20001,38.90022598,-77.02025541
4178735,Ontario,2422 ONTARIO RD NW,20009,38.92133704,-77.0404305
3412670,Perry Street Preparatory Public Charter School/Taft Recreation Center,1800 PERRY ST NE,20018,38.93680394,-76.97859779
3504819,"Jemal's Hecht's, LLC",1401 - 1435 NEW YORK AV NE,20002,38.91536994,-76.98437786
2008147,Marlon Francisco Morales Building,5315 1ST PL NE,20011,38.9541729,-77.00421639
3412670,! Perry Street Preparatory Public Charter School/Taft Recreation Center,1800 PERRY ST NE,20018,38.93680394,-76.97859779
3365840,Hyde-Addison Elementary School,3246 P ST NW,20007,38.90802702,-77.06454013
3412670,! Perry Street Preparatory Public Charter School/Taft Recreation Center,1800 PERRY ST NE,20018,38.93680394,-76.97859779
4178735,Ontario,2422 ONTARIO RD NW,20009,38.92133704,-77.0404305
3412670,Taft Rec Ctr,1800 PERRY ST NE,20018,38.93680394,-76.97859779
4178735,Ontario,2422 ONTARIO RD NW,20009,38.92133704,-77.0404305
4007384,HILLSIDE TERRACE LLC,1806 - 1820 23RD ST SE,20020,38.86743028,-76.97282073
3412670,Taft Rec Ctr,1800 PERRY ST NE,20018,38.93680394,-76.97859779
3365856,Kimball Elementary School,3375 MINNESOTA AVE SE,20019,38.88331065,-76.95718056
3412596,East Potomac Pool,1100 OHIO DR SW,20242,38.87648701,-77.03364062
4178750,Colorado,5336 COLORADO AVE NW,20011,38.95540883,-77.03461929
3412670,! Perry Street Preparatory Public Charter School/Taft Recreation Center,1800 PERRY ST NE,20018,38.93680394,-76.97859779
4178735,Ontario,2422 ONTARIO RD NW,20009,38.92133704,-77.0404305
3412670,! Perry Street Preparatory Public Charter School/Taft Recreation Center,1800 PERRY ST NE,20018,38.93680394,-76.97859779
4328816,& Spingarn High School,0850  26TH ST NE,20002,38.90260634,-76.97066933
3412670,! Perry Street Preparatory Public Charter School/Taft Recreation Center,1800 PERRY ST NE,20018,38.93680394,-76.97859779
3374827,Embassy Building No. 10 (former Department of Parks & Recreation HQ),3149  16TH ST NW,20010,38.93015679,-77.03610829
4988493,Human Rights Campaign Foundation,1640 RHODE ISLAND AV NW,20036,38.90628652,-77.03808499
3374827,Embassy Building 10,3149  16TH ST NW,20010,38.93015679,-77.03610829
4178735,Ontario,2422 ONTARIO RD NW,20009,38.92133704,-77.0404305
4000739,6035 Blair Rd NW - Blair Rd DG,6035 BLAIR RD NW,20011,38.96378222,-77.01076368
3412689,Fire Alarm Headquarters,4TH ST NW,20001,38.92207006,-77.01621894
3374827,Embassy Building No. 10 (former Department of Parks & Recreation HQ),3149  16TH ST NW,20010,38.93015679,-77.03610829
5836639,Museum of the Americas,0201 17TH ST NW,20006,38.89339797,-77.03966811
3989917,Jemal's Gateway DC LLC,7820 GEORGIA AV NW,20012,38.98440387,-77.02696638
6373283,CubeSmart (DC) - 594,1629 - 1631 ECKINGTON PL NE,20002,38.91241366,-77.00394286
3412689,Fire Alarm Headquarters,4TH ST NW,20001,38.92207006,-77.01621894
4000739,"BRDG, LLC 0809",6035 BLAIR RD,20011,38.9638043,-77.0103785
4178735,Ontario,2422 ONTARIO RD NW,20009,38.92133704,-77.0404305
3374827,Embassy Building No. 10 (former Department of Parks & Recreation HQ),3149  16TH ST NW,20010,38.93015679,-77.03610829
3989963,Jemal's Van Ness LLC,4215 CONNECTICUT AV NW,20008,38.94381485,-77.06284385
3412689,Fire Alarm Headquarters,4TH ST NW,20001,38.92207006,-77.01621894
3412689,#NAME?,4TH ST NW,20001,38.92207006,-77.01621894
4178750,Colorado,5336 COLORADO AVE NW,20011,38.95540883,-77.03461929
3412689,#NAME?,4TH ST NW,20001,38.92207006,-77.01621894
3504819,"Jemal's Hecht's, LLC",1401 - 1435 NEW YORK AV NE,20002,38.91536994,-76.98437786
3513627,Northumberland Apartments Inc,2039 NEW HAMPSHIRE AVE NW,20009,38.9178766,-77.03537261
3412689,#NAME?,4TH ST NW,20001,38.92207006,-77.01621894
3989963,Jemal's Van Ness LLC,4215 CONNECTICUT AV NW,20008,38.94381485,-77.06284385
4178735,Ontario,2422 ONTARIO RD NW,20009,38.92133704,-77.0404305
3412689,#NAME?,4TH ST NW,20001,38.92207006,-77.01621894
3374827,! Embassy Building 10,3149  16TH ST NW,20010,38.93015679,-77.03610829
4060690,Chemistry Building (2C),2440 6TH ST NW,20059,38.92645893,-77.01852853
4178759,2905 11th St,2905 11TH ST NW,20001,38.92705952,-77.02684296
5007395,4108-0078,2115 BRYANT ST NE,20018,38.9209557,-76.97451402
3412689,#NAME?,4TH ST NW,20001,38.92207006,-77.01621894
4697233,Ellington Building,2121 WARD PL NW,20037,38.90640816,-77.04757005
6872313,Brentwood Square Shopping Center,1201 - 1233 BRENTWOOD RD NE,20018,38.92050281,-76.98881816
4178759,2905 11th St,2905 11TH ST NW,20001,38.92705952,-77.02684296
3989963,Jemal's Van Ness LLC,4215 CONNECTICUT AV NW,20008,38.94381485,-77.06284385
6776117,5600 2nd Street NE (5034) - CubeSmart,5600-5620  2ND ST NE,20011,38.95821213,-77.00364251
4178732,Greenleaf Extension,1124 3RD ST SW,20024,38.87675727,-77.01494602
3982608,B B 50 Florida,0044 PORTER ST NE,20002,38.91040946,-77.00719523
4000739,6035 Blair Rd NW - Blair Rd DG,6035 BLAIR RD NW,20011,38.96378222,-77.01076368
4178732,Greenleaf Extension,1124 3RD ST SW,20024,38.87675727,-77.01494602
5013045,Jemal's Pappas Tomatos,1901 FENWICK ST NE,20002,38.91459016,-76.98356873
4742246,South Capitol Center LLC,4001-4031  SOUTH CAPITOL ST SW,20032,38.83119889,-77.00799199
4178732,Greenleaf Extension,1124 3RD ST SW,20024,38.87675727,-77.01494602
3412689,Fire Alarm Headquarters,4TH ST NW,20001,38.92207006,-77.01621894
